customer_id;checking_account;duration_moonths;credit_history;purpose;credit_amount;savings;present_employment_since;installment_rate;personal_status_sex;other_deptors;present_residence;property;age_yearsyears;other_installment_plans;housing;existing_credits;job;people_liable_maintenance;telephone;foreign_worker;response
270;No checking account;24;existing credits paid back duly till now;radio/television;999;unknown/ no savings account;.. >= 7 years;4;male   : single;none;2;(if not optin 1 or 2) car or other, not in attribute;25;none;own;2;skilled employee / official;1;none;yes;0
271;No checking account;18;existing credits paid back duly till now;car (new);2662;unknown/ no savings account;4  <= ... < 7 years;4;male   : single;none;3;(if not real estate) building society savings agreement/ life insurance;32;none;own;1;skilled employee / official;1;none;no;0
272;No checking account;12;critical account/other credits existing (not at this bank);furniture/equipment;1402;255 euro <= ... < 511 euro;4  <= ... < 7 years;3;female : divorced/separated/married;none;4;(if not optin 1 or 2) car or other, not in attribute;37;none;rent;1;skilled employee / official;1;yes, registered under the customers name;yes;0
273;0 <= ... <  102 euro;48;all credits at this bank paid back duly;car (new);12169;unknown/ no savings account;unemployed;4;male   : single;co-applicant;4;unknown / no property;36;none;for free;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;0
274;0 <= ... <  102 euro;48;existing credits paid back duly till now;radio/television;3060;... <  51 euro;4  <= ... < 7 years;4;male   : single;none;4;real estate;28;none;own;2;skilled employee / official;1;none;yes;1
275;... <  0 euro;30;existing credits paid back duly till now;repairs;11998;... <  51 euro;... < 1 year;1;male   : divorced/separated;none;1;unknown / no property;34;none;own;1;unskilled - resident;1;yes, registered under the customers name;yes;1
276;No checking account;9;existing credits paid back duly till now;radio/television;2697;... <  51 euro;1  <= ... < 4 years;1;male   : single;none;2;real estate;32;none;own;1;skilled employee / official;2;none;yes;0
277;No checking account;18;critical account/other credits existing (not at this bank);radio/television;2404;... <  51 euro;1  <= ... < 4 years;2;female : divorced/separated/married;none;2;(if not optin 1 or 2) car or other, not in attribute;26;none;own;2;skilled employee / official;1;none;yes;0
278;... <  0 euro;12;existing credits paid back duly till now;furniture/equipment;1262;unknown/ no savings account;.. >= 7 years;2;male   : divorced/separated;none;4;(if not real estate) building society savings agreement/ life insurance;49;none;own;1;unskilled - resident;1;yes, registered under the customers name;yes;0
279;No checking account;6;existing credits paid back duly till now;furniture/equipment;4611;... <  51 euro;... < 1 year;1;female : divorced/separated/married;none;4;(if not real estate) building society savings agreement/ life insurance;32;none;own;1;skilled employee / official;1;none;yes;1
280;No checking account;24;existing credits paid back duly till now;radio/television;1901;51 <= ... <  255 euro;1  <= ... < 4 years;4;male   : single;none;4;(if not optin 1 or 2) car or other, not in attribute;29;none;rent;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;0
281;No checking account;15;critical account/other credits existing (not at this bank);car (used);3368;.. >= 511 euro;.. >= 7 years;3;male   : single;none;4;unknown / no property;23;none;rent;2;skilled employee / official;1;yes, registered under the customers name;yes;0
282;No checking account;12;existing credits paid back duly till now;furniture/equipment;1574;... <  51 euro;1  <= ... < 4 years;4;male   : single;none;2;real estate;50;none;own;1;skilled employee / official;1;none;yes;0
283;>= 102 euro;18;all credits at this bank paid back duly;radio/television;1445;unknown/ no savings account;4  <= ... < 7 years;4;male   : single;none;4;(if not optin 1 or 2) car or other, not in attribute;49;bank;own;1;unskilled - resident;1;none;yes;0
284;No checking account;15;critical account/other credits existing (not at this bank);furniture/equipment;1520;unknown/ no savings account;.. >= 7 years;4;male   : single;none;4;(if not real estate) building society savings agreement/ life insurance;;none;own;1;skilled employee / official;1;none;yes;0
285;0 <= ... <  102 euro;24;critical account/other credits existing (not at this bank);car (new);3878;51 <= ... <  255 euro;... < 1 year;4;male   : divorced/separated;none;2;(if not optin 1 or 2) car or other, not in attribute;37;none;own;1;skilled employee / official;1;yes, registered under the customers name;yes;0
286;... <  0 euro;47;existing credits paid back duly till now;car (new);"""10722""";... <  51 euro;... < 1 year;1;female : divorced/separated/married;none;1;real estate;35;none;own;1;unskilled - resident;1;yes, registered under the customers name;yes;0
287;... <  0 euro;48;existing credits paid back duly till now;car (used);4788;... <  51 euro;4  <= ... < 7 years;4;male   : single;none;3;(if not real estate) building society savings agreement/ life insurance;26;none;own;1;skilled employee / official;2;none;yes;0
288;0 <= ... <  102 euro;48;delay in paying off in the past;others;7582;51 <= ... <  255 euro;unemployed;2;male   : single;none;4;unknown / no property;31;none;for free;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;0
289;0 <= ... <  102 euro;12;existing credits paid back duly till now;radio/television;1092;... <  51 euro;1  <= ... < 4 years;4;female : divorced/separated/married;guarantor;4;real estate;49;none;own;2;skilled employee / official;1;yes, registered under the customers name;yes;0
290;... <  0 euro;24;delay in paying off in the past;radio/television;1024;... <  51 euro;... < 1 year;4;male   : married/widowed;none;4;real estate;48;stores;own;1;skilled employee / official;1;none;yes;1
291;No checking account;12;existing credits paid back duly till now;business;1076;... <  51 euro;1  <= ... < 4 years;2;male   : married/widowed;none;2;real estate;26;none;own;1;skilled employee / official;1;yes, registered under the customers name;no;0
292;0 <= ... <  102 euro;36;existing credits paid back duly till now;car (used);9398;... <  51 euro;... < 1 year;1;male   : married/widowed;none;4;(if not optin 1 or 2) car or other, not in attribute;28;none;rent;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;1
293;... <  0 euro;24;critical account/other credits existing (not at this bank);car (used);6419;... <  51 euro;.. >= 7 years;2;female : divorced/separated/married;none;4;unknown / no property;44;none;for free;2;management/ self-employed/highly qualified employee/ officer;2;yes, registered under the customers name;yes;0
294;>= 102 euro;42;critical account/other credits existing (not at this bank);car (used);4796;... <  51 euro;.. >= 7 years;4;male   : single;none;4;unknown / no property;56;none;for free;1;skilled employee / official;1;none;yes;0
295;No checking account;48;critical account/other credits existing (not at this bank);business;7629;unknown/ no savings account;.. >= 7 years;4;male   : divorced/separated;none;2;(if not optin 1 or 2) car or other, not in attribute;46;bank;own;2;management/ self-employed/highly qualified employee/ officer;2;none;yes;0
296;0 <= ... <  102 euro;48;existing credits paid back duly till now;furniture/equipment;9960;... <  51 euro;... < 1 year;1;female : divorced/separated/married;none;2;(if not optin 1 or 2) car or other, not in attribute;26;none;own;1;skilled employee / official;1;yes, registered under the customers name;yes;1
297;No checking account;12;existing credits paid back duly till now;car (used);4675;unknown/ no savings account;... < 1 year;1;female : divorced/separated/married;none;4;(if not optin 1 or 2) car or other, not in attribute;20;none;rent;1;skilled employee / official;1;none;yes;0
298;No checking account;10;existing credits paid back duly till now;car (new);1287;unknown/ no savings account;.. >= 7 years;4;male   : single;co-applicant;2;(if not real estate) building society savings agreement/ life insurance;45;none;own;1;unskilled - resident;1;none;no;0
299;No checking account;18;existing credits paid back duly till now;furniture/equipment;2515;... <  51 euro;1  <= ... < 4 years;3;male   : single;none;4;real estate;43;none;own;1;skilled employee / official;1;yes, registered under the customers name;yes;0
300;0 <= ... <  102 euro;21;critical account/other credits existing (not at this bank);furniture/equipment;2745;.. >= 511 euro;4  <= ... < 7 years;3;male   : single;none;2;(if not optin 1 or 2) car or other, not in attribute;32;none;own;2;skilled employee / official;1;yes, registered under the customers name;yes;0
301;No checking account;6;existing credits paid back duly till now;car (new);672;... <  51 euro;unemployed;1;female : divorced/separated/married;none;4;real estate;54;none;own;1;unemployed/ unskilled  - non-resident;1;yes, registered under the customers name;yes;0
302;0 <= ... <  102 euro;36;no credits taken/ all credits paid back duly;radio/television;3804;... <  51 euro;1  <= ... < 4 years;4;female : divorced/separated/married;none;1;(if not optin 1 or 2) car or other, not in attribute;42;none;own;1;skilled employee / official;1;yes, registered under the customers name;yes;1
303;>= 102 euro;24;critical account/other credits existing (not at this bank);car (new);1344;unknown/ no savings account;4  <= ... < 7 years;4;male   : single;none;2;real estate;37;bank;own;2;unskilled - resident;2;none;yes;1
304;... <  0 euro;10;critical account/other credits existing (not at this bank);car (new);1038;... <  51 euro;4  <= ... < 7 years;4;male   : single;co-applicant;3;(if not real estate) building society savings agreement/ life insurance;49;none;own;2;skilled employee / official;1;yes, registered under the customers name;yes;0
305;No checking account;48;critical account/other credits existing (not at this bank);car (new);10127;255 euro <= ... < 511 euro;1  <= ... < 4 years;2;male   : single;none;2;unknown / no property;44;bank;for free;1;skilled employee / official;1;none;yes;1
306;No checking account;6;existing credits paid back duly till now;furniture/equipment;1543;.. >= 511 euro;1  <= ... < 4 years;4;male   : divorced/separated;none;2;real estate;33;none;own;1;skilled employee / official;1;none;yes;0
307;No checking account;30;existing credits paid back duly till now;car (used);4811;unknown/ no savings account;4  <= ... < 7 years;2;female : divorced/separated/married;none;4;(if not real estate) building society savings agreement/ life insurance;24;stores;rent;1;unskilled - resident;1;none;yes;0
308;... <  0 euro;12;existing credits paid back duly till now;radio/television;727;51 <= ... <  255 euro;... < 1 year;4;male   : married/widowed;none;3;unknown / no property;33;none;own;1;unskilled - resident;1;yes, registered under the customers name;yes;1
309;0 <= ... <  102 euro;8;existing credits paid back duly till now;furniture/equipment;1237;... <  51 euro;1  <= ... < 4 years;3;female : divorced/separated/married;none;4;real estate;24;none;own;1;skilled employee / official;1;none;yes;1
310;0 <= ... <  102 euro;9;existing credits paid back duly till now;car (new);276;... <  51 euro;1  <= ... < 4 years;4;male   : married/widowed;none;4;real estate;22;none;rent;1;unskilled - resident;1;none;yes;0
311;0 <= ... <  102 euro;48;existing credits paid back duly till now;others;5381;unknown/ no savings account;unemployed;3;male   : single;none;4;unknown / no property;40;bank;for free;1;unemployed/ unskilled  - non-resident;1;yes, registered under the customers name;yes;0
312;No checking account;24;existing credits paid back duly till now;furniture/equipment;5511;51 <= ... <  255 euro;1  <= ... < 4 years;4;male   : single;none;1;(if not optin 1 or 2) car or other, not in attribute;25;stores;own;1;skilled employee / official;1;none;yes;0
313;>= 102 euro;24;existing credits paid back duly till now;furniture/equipment;3749;... <  51 euro;... < 1 year;2;female : divorced/separated/married;none;4;(if not optin 1 or 2) car or other, not in attribute;26;none;own;1;skilled employee / official;1;none;yes;0
314;0 <= ... <  102 euro;12;existing credits paid back duly till now;car (new);685;... <  51 euro;4  <= ... < 7 years;2;male   : married/widowed;none;3;(if not optin 1 or 2) car or other, not in attribute;25;bank;own;1;unskilled - resident;1;none;yes;1
315;>= 102 euro;503401;existing credits paid back duly till now;car (new);1494;unknown/ no savings account;... < 1 year;1;male   : single;none;2;real estate;29;none;own;1;unskilled - resident;2;none;no;0
316;... <  0 euro;36;all credits at this bank paid back duly;furniture/equipment;2746;... <  51 euro;.. >= 7 years;4;male   : single;none;4;(if not optin 1 or 2) car or other, not in attribute;31;bank;own;1;skilled employee / official;1;none;yes;1
317;... <  0 euro;12;existing credits paid back duly till now;furniture/equipment;708;... <  51 euro;1  <= ... < 4 years;2;male   : single;guarantor;3;(if not real estate) building society savings agreement/ life insurance;38;none;own;1;unskilled - resident;2;none;yes;0
318;0 <= ... <  102 euro;24;existing credits paid back duly till now;furniture/equipment;4351;unknown/ no savings account;1  <= ... < 4 years;1;female : divorced/separated/married;none;4;(if not real estate) building society savings agreement/ life insurance;48;none;own;1;unskilled - resident;1;yes, registered under the customers name;yes;0
319;No checking account;12;critical account/other credits existing (not at this bank);education;701;... <  51 euro;1  <= ... < 4 years;4;male   : single;none;2;(if not optin 1 or 2) car or other, not in attribute;32;none;own;2;skilled employee / official;1;none;yes;0
320;... <  0 euro;15;delay in paying off in the past;furniture/equipment;3643;... <  51 euro;.. >= 7 years;1;female : divorced/separated/married;none;4;(if not real estate) building society savings agreement/ life insurance;27;none;own;2;unskilled - resident;1;none;yes;0
321;0 <= ... <  102 euro;30;critical account/other credits existing (not at this bank);car (new);4249;... <  51 euro;unemployed;4;male   : married/widowed;none;2;(if not optin 1 or 2) car or other, not in attribute;28;none;own;2;management/ self-employed/highly qualified employee/ officer;1;none;yes;1
322;... <  0 euro;24;existing credits paid back duly till now;radio/television;1938;... <  51 euro;... < 1 year;4;male   : divorced/separated;none;3;(if not real estate) building society savings agreement/ life insurance;32;none;own;1;skilled employee / official;1;none;yes;1
323;... <  0 euro;24;existing credits paid back duly till now;car (used);2910;... <  51 euro;4  <= ... < 7 years;2;male   : single;none;1;unknown / no property;34;none;for free;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;0
324;... <  0 euro;18;existing credits paid back duly till now;furniture/equipment;2659;.. >= 511 euro;1  <= ... < 4 years;4;male   : single;none;2;(if not optin 1 or 2) car or other, not in attribute;28;none;own;1;skilled employee / official;1;none;yes;0
325;No checking account;18;critical account/other credits existing (not at this bank);car (new);1028;... <  51 euro;1  <= ... < 4 years;4;female : divorced/separated/married;none;3;real estate;36;none;own;2;skilled employee / official;1;none;yes;0
326;... <  0 euro;8;critical account/other credits existing (not at this bank);car (new);3398;... <  51 euro;4  <= ... < 7 years;1;male   : single;none;4;real estate;39;none;own;2;unskilled - resident;1;none;no;0
327;No checking account;12;critical account/other credits existing (not at this bank);furniture/equipment;5801;unknown/ no savings account;.. >= 7 years;2;male   : single;none;4;(if not real estate) building society savings agreement/ life insurance;49;none;rent;1;skilled employee / official;1;yes, registered under the customers name;yes;0
328;No checking account;24;existing credits paid back duly till now;car (new);1525;.. >= 511 euro;4  <= ... < 7 years;4;female : divorced/separated/married;none;3;(if not optin 1 or 2) car or other, not in attribute;34;none;own;1;skilled employee / official;2;yes, registered under the customers name;yes;0
329;>= 102 euro;36;existing credits paid back duly till now;radio/television;4473;... <  51 euro;.. >= 7 years;4;male   : single;none;2;(if not optin 1 or 2) car or other, not in attribute;31;none;own;1;skilled employee / official;1;none;yes;0
330;0 <= ... <  102 euro;6;existing credits paid back duly till now;radio/television;1068;... <  51 euro;.. >= 7 years;4;male   : single;none;4;(if not optin 1 or 2) car or other, not in attribute;28;none;own;1;skilled employee / official;2;none;yes;0
331;... <  0 euro;24;critical account/other credits existing (not at this bank);car (used);6615;... <  51 euro;unemployed;2;male   : single;none;4;unknown / no property;75;none;for free;2;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;0
332;No checking account;18;critical account/other credits existing (not at this bank);education;1864;51 <= ... <  255 euro;1  <= ... < 4 years;4;female : divorced/separated/married;none;2;real estate;30;none;own;2;skilled employee / official;1;none;yes;1
333;0 <= ... <  102 euro;60;existing credits paid back duly till now;car (new);7408;51 <= ... <  255 euro;... < 1 year;4;female : divorced/separated/married;none;2;(if not real estate) building society savings agreement/ life insurance;24;none;own;1;management/ self-employed/highly qualified employee/ officer;1;none;yes;1
334;No checking account;48;critical account/other credits existing (not at this bank);car (used);11590;51 <= ... <  255 euro;1  <= ... < 4 years;2;female : divorced/separated/married;none;4;(if not optin 1 or 2) car or other, not in attribute;24;bank;rent;2;unskilled - resident;1;none;yes;1
335;... <  0 euro;24;no credits taken/ all credits paid back duly;furniture/equipment;4110;... <  51 euro;.. >= 7 years;3;male   : single;none;4;unknown / no property;23;bank;rent;2;skilled employee / official;2;none;yes;1
336;... <  0 euro;6;critical account/other credits existing (not at this bank);furniture/equipment;3384;... <  51 euro;1  <= ... < 4 years;1;male   : divorced/separated;none;4;real estate;44;none;rent;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;1
337;0 <= ... <  102 euro;13;existing credits paid back duly till now;radio/television;2101;... <  51 euro;... < 1 year;2;female : divorced/separated/married;guarantor;4;(if not real estate) building society savings agreement/ life insurance;23;none;own;1;unskilled - resident;1;none;yes;0
338;... <  0 euro;15;existing credits paid back duly till now;domestic appliances;1275;unknown/ no savings account;1  <= ... < 4 years;4;female : divorced/separated/married;none;2;(if not optin 1 or 2) car or other, not in attribute;24;none;rent;1;skilled employee / official;1;none;yes;1
339;... <  0 euro;24;existing credits paid back duly till now;furniture/equipment;4169;... <  51 euro;1  <= ... < 4 years;4;male   : single;none;4;(if not real estate) building society savings agreement/ life insurance;28;none;own;1;skilled employee / official;1;none;yes;0
340;0 <= ... <  102 euro;10;existing credits paid back duly till now;furniture/equipment;1521;... <  51 euro;1  <= ... < 4 years;4;male   : divorced/separated;none;2;(if not optin 1 or 2) car or other, not in attribute;31;none;own;1;unskilled - resident;1;none;yes;0
341;0 <= ... <  102 euro;24;critical account/other credits existing (not at this bank);education;5743;... <  51 euro;... < 1 year;2;female : divorced/separated/married;none;4;unknown / no property;24;none;for free;2;skilled employee / official;1;yes, registered under the customers name;yes;0
342;... <  0 euro;21;existing credits paid back duly till now;furniture/equipment;3599;... <  51 euro;4  <= ... < 7 years;1;female : divorced/separated/married;none;4;(if not optin 1 or 2) car or other, not in attribute;26;none;rent;1;unskilled - resident;1;none;yes;0
343;0 <= ... <  102 euro;18;existing credits paid back duly till now;radio/television;3213;255 euro <= ... < 511 euro;... < 1 year;1;male   : married/widowed;none;3;real estate;25;none;rent;1;skilled employee / official;1;none;yes;0
344;0 <= ... <  102 euro;18;existing credits paid back duly till now;business;4439;... <  51 euro;.. >= 7 years;1;male   : single;co-applicant;1;real estate;33;bank;own;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;0
345;>= 102 euro;10;existing credits paid back duly till now;car (new);3949;... <  51 euro;... < 1 year;1;male   : single;guarantor;1;(if not real estate) building society savings agreement/ life insurance;37;none;own;1;unskilled - resident;2;none;yes;0
346;No checking account;15;critical account/other credits existing (not at this bank);radio/television;1459;... <  51 euro;1  <= ... < 4 years;4;female : divorced/separated/married;none;2;(if not optin 1 or 2) car or other, not in attribute;43;none;own;1;unskilled - resident;1;none;yes;0
347;0 <= ... <  102 euro;13;critical account/other credits existing (not at this bank);radio/television;882;... <  51 euro;... < 1 year;4;male   : single;guarantor;4;real estate;23;none;own;2;skilled employee / official;1;none;yes;0
348;0 <= ... <  102 euro;24;existing credits paid back duly till now;radio/television;3758;255 euro <= ... < 511 euro;unemployed;1;female : divorced/separated/married;none;4;unknown / no property;23;none;rent;1;unemployed/ unskilled  - non-resident;1;none;yes;0
349;No checking account;6;delay in paying off in the past;business;1743;51 <= ... <  255 euro;1  <= ... < 4 years;1;male   : single;none;2;real estate;34;none;own;2;unskilled - resident;1;none;yes;0
350;0 <= ... <  102 euro;9;critical account/other credits existing (not at this bank);education;1136;.. >= 511 euro;.. >= 7 years;4;male   : single;none;3;unknown / no property;32;none;for free;2;skilled employee / official;2;none;yes;1
351;No checking account;9;existing credits paid back duly till now;domestic appliances;1236;... <  51 euro;... < 1 year;1;female : divorced/separated/married;none;4;real estate;23;none;rent;1;skilled employee / official;1;yes, registered under the customers name;yes;0
352;0 <= ... <  102 euro;9;existing credits paid back duly till now;furniture/equipment;959;... <  51 euro;1  <= ... < 4 years;1;female : divorced/separated/married;none;2;(if not optin 1 or 2) car or other, not in attribute;29;none;own;1;skilled employee / official;1;none;no;1
353;No checking account;18;critical account/other credits existing (not at this bank);car (used);3229;unknown/ no savings account;unemployed;2;male   : single;none;4;unknown / no property;38;none;own;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;0
354;... <  0 euro;12;no credits taken/ all credits paid back duly;radio/television;6199;... <  51 euro;1  <= ... < 4 years;4;male   : single;none;2;(if not real estate) building society savings agreement/ life insurance;28;none;rent;2;skilled employee / official;1;yes, registered under the customers name;yes;1
355;No checking account;10;existing credits paid back duly till now;education;727;255 euro <= ... < 511 euro;.. >= 7 years;4;male   : single;none;4;unknown / no property;46;none;for free;1;skilled employee / official;1;yes, registered under the customers name;yes;0
356;0 <= ... <  102 euro;24;existing credits paid back duly till now;car (new);1246;... <  51 euro;... < 1 year;4;male   : single;none;2;real estate;23;stores;own;1;unskilled - resident;1;none;yes;1
357;No checking account;12;critical account/other credits existing (not at this bank);radio/television;2331;unknown/ no savings account;.. >= 7 years;1;male   : single;co-applicant;4;real estate;49;none;own;1;skilled employee / official;1;yes, registered under the customers name;yes;0
358;No checking account;36;delay in paying off in the past;radio/television;4463;... <  51 euro;1  <= ... < 4 years;4;male   : single;none;2;(if not optin 1 or 2) car or other, not in attribute;26;none;own;2;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;1
359;No checking account;12;existing credits paid back duly till now;radio/television;776;... <  51 euro;1  <= ... < 4 years;4;male   : married/widowed;none;2;real estate;28;none;own;1;skilled employee / official;1;none;yes;0
360;... <  0 euro;30;existing credits paid back duly till now;furniture/equipment;2406;... <  51 euro;4  <= ... < 7 years;4;female : divorced/separated/married;none;4;real estate;23;none;rent;1;skilled employee / official;1;none;yes;1
361;0 <= ... <  102 euro;18;existing credits paid back duly till now;education;1239;unknown/ no savings account;1  <= ... < 4 years;4;male   : single;none;4;unknown / no property;61;none;for free;1;skilled employee / official;1;none;yes;0
362;>= 102 euro;12;existing credits paid back duly till now;radio/television;3399;unknown/ no savings account;.. >= 7 years;2;male   : single;none;3;(if not optin 1 or 2) car or other, not in attribute;37;none;own;1;management/ self-employed/highly qualified employee/ officer;1;none;yes;0
363;>= 102 euro;12;delay in paying off in the past;car (new);2247;... <  51 euro;1  <= ... < 4 years;2;female : divorced/separated/married;none;2;(if not optin 1 or 2) car or other, not in attribute;36;stores;own;2;skilled employee / official;1;yes, registered under the customers name;yes;0
364;No checking account;6;existing credits paid back duly till now;furniture/equipment;1766;... <  51 euro;1  <= ... < 4 years;1;male   : married/widowed;none;2;(if not real estate) building society savings agreement/ life insurance;21;none;rent;1;skilled employee / official;1;none;yes;0
365;... <  0 euro;18;existing credits paid back duly till now;furniture/equipment;2473;... <  51 euro;unemployed;4;male   : single;none;1;(if not optin 1 or 2) car or other, not in attribute;25;none;own;1;unemployed/ unskilled  - non-resident;1;none;yes;1
366;No checking account;12;existing credits paid back duly till now;business;1542;... <  51 euro;4  <= ... < 7 years;2;male   : single;none;4;(if not optin 1 or 2) car or other, not in attribute;36;none;own;1;skilled employee / official;1;yes, registered under the customers name;yes;0
367;No checking account;18;critical account/other credits existing (not at this bank);car (used);3850;... <  51 euro;4  <= ... < 7 years;3;male   : single;none;1;(if not optin 1 or 2) car or other, not in attribute;27;none;own;2;skilled employee / official;1;none;yes;0
368;... <  0 euro;18;existing credits paid back duly till now;furniture/equipment;3650;... <  51 euro;... < 1 year;1;female : divorced/separated/married;none;4;(if not optin 1 or 2) car or other, not in attribute;22;none;rent;1;skilled employee / official;1;none;yes;0
369;... <  0 euro;36;existing credits paid back duly till now;furniture/equipment;3446;... <  51 euro;.. >= 7 years;4;male   : single;none;2;(if not optin 1 or 2) car or other, not in attribute;42;none;own;1;skilled employee / official;2;none;yes;1
370;0 <= ... <  102 euro;18;existing credits paid back duly till now;furniture/equipment;3001;... <  51 euro;4  <= ... < 7 years;2;female : divorced/separated/married;none;4;real estate;40;none;rent;1;skilled employee / official;1;none;yes;0
371;No checking account;36;existing credits paid back duly till now;car (new);3079;unknown/ no savings account;1  <= ... < 4 years;4;male   : single;none;4;real estate;36;none;own;1;skilled employee / official;1;none;yes;0
372;No checking account;18;critical account/other credits existing (not at this bank);radio/television;6070;... <  51 euro;.. >= 7 years;3;male   : single;none;4;(if not optin 1 or 2) car or other, not in attribute;33;none;own;2;skilled employee / official;1;yes, registered under the customers name;yes;0
373;No checking account;10;critical account/other credits existing (not at this bank);furniture/equipment;2146;... <  51 euro;... < 1 year;1;female : divorced/separated/married;none;3;real estate;23;none;rent;2;skilled employee / official;1;none;yes;0
374;No checking account;60;critical account/other credits existing (not at this bank);car (new);13756;unknown/ no savings account;.. >= 7 years;2;male   : single;none;4;unknown / no property;63;bank;for free;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;0
375;0 <= ... <  102 euro;60;all credits at this bank paid back duly;others;14782;51 <= ... <  255 euro;.. >= 7 years;3;female : divorced/separated/married;none;4;unknown / no property;60;bank;for free;2;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;1
376;... <  0 euro;48;all credits at this bank paid back duly;business;7685;... <  51 euro;4  <= ... < 7 years;2;female : divorced/separated/married;guarantor;4;(if not optin 1 or 2) car or other, not in attribute;37;none;rent;1;skilled employee / official;1;none;yes;1
377;No checking account;18;delay in paying off in the past;radio/television;2320;... <  51 euro;unemployed;2;male   : married/widowed;none;3;real estate;34;none;own;2;skilled employee / official;1;none;yes;0
378;No checking account;7;delay in paying off in the past;radio/television;846;unknown/ no savings account;.. >= 7 years;3;male   : single;none;4;unknown / no property;36;none;for free;1;skilled employee / official;1;none;yes;0
379;0 <= ... <  102 euro;36;existing credits paid back duly till now;car (new);14318;... <  51 euro;.. >= 7 years;4;male   : single;none;2;unknown / no property;57;none;for free;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;1
380;No checking account;6;critical account/other credits existing (not at this bank);car (new);362;51 <= ... <  255 euro;1  <= ... < 4 years;4;female : divorced/separated/married;none;4;(if not optin 1 or 2) car or other, not in attribute;52;none;own;2;unskilled - resident;1;none;yes;0
381;... <  0 euro;20;existing credits paid back duly till now;furniture/equipment;2212;unknown/ no savings account;4  <= ... < 7 years;4;male   : single;none;4;(if not optin 1 or 2) car or other, not in attribute;39;none;own;1;skilled employee / official;1;yes, registered under the customers name;yes;0
382;0 <= ... <  102 euro;18;existing credits paid back duly till now;car (used);12976;... <  51 euro;unemployed;3;female : divorced/separated/married;none;4;unknown / no property;38;none;for free;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;1
383;No checking account;22;existing credits paid back duly till now;car (new);1283;unknown/ no savings account;4  <= ... < 7 years;4;female : divorced/separated/married;none;4;(if not real estate) building society savings agreement/ life insurance;25;none;rent;1;skilled employee / official;1;none;yes;0
384;>= 102 euro;12;existing credits paid back duly till now;car (new);1330;... <  51 euro;... < 1 year;4;male   : single;none;1;real estate;26;none;own;1;skilled employee / official;1;none;yes;0
385;No checking account;30;delay in paying off in the past;business;4272;51 <= ... <  255 euro;1  <= ... < 4 years;2;male   : single;none;2;(if not real estate) building society savings agreement/ life insurance;26;none;own;2;unskilled - resident;1;none;yes;0
386;No checking account;18;critical account/other credits existing (not at this bank);radio/television;2238;... <  51 euro;1  <= ... < 4 years;2;female : divorced/separated/married;none;1;(if not optin 1 or 2) car or other, not in attribute;25;none;own;2;skilled employee / official;1;none;yes;0
387;No checking account;18;existing credits paid back duly till now;radio/television;1126;unknown/ no savings account;... < 1 year;4;female : divorced/separated/married;none;2;real estate;21;none;rent;1;skilled employee / official;1;yes, registered under the customers name;yes;0
388;0 <= ... <  102 euro;18;critical account/other credits existing (not at this bank);furniture/equipment;7374;... <  51 euro;unemployed;4;male   : single;none;4;(if not real estate) building society savings agreement/ life insurance;40;stores;own;2;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;0
389;0 <= ... <  102 euro;15;critical account/other credits existing (not at this bank);business;2326;255 euro <= ... < 511 euro;1  <= ... < 4 years;2;male   : single;none;4;(if not optin 1 or 2) car or other, not in attribute;27;bank;own;1;skilled employee / official;1;none;yes;0
390;No checking account;9;existing credits paid back duly till now;business;1449;... <  51 euro;4  <= ... < 7 years;3;female : divorced/separated/married;none;2;(if not optin 1 or 2) car or other, not in attribute;27;none;own;2;skilled employee / official;1;none;yes;0
391;No checking account;18;existing credits paid back duly till now;car (new);1820;... <  51 euro;1  <= ... < 4 years;2;male   : married/widowed;none;2;(if not real estate) building society savings agreement/ life insurance;30;none;own;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;0
392;0 <= ... <  102 euro;12;existing credits paid back duly till now;furniture/equipment;983;.. >= 511 euro;... < 1 year;1;female : divorced/separated/married;none;4;real estate;19;none;rent;1;unskilled - resident;1;none;yes;0
393;... <  0 euro;36;existing credits paid back duly till now;car (new);3249;... <  51 euro;4  <= ... < 7 years;2;male   : single;none;4;unknown / no property;39;bank;for free;1;management/ self-employed/highly qualified employee/ officer;2;yes, registered under the customers name;yes;0
